Affiliation Number,Name,Head/Principal Name,Status,Affiliated up to,Address,Phone No.,Email,Website
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
,,,,,,0,,
2130419,A P S ACADEMY,HEMA KALAKOTI,Senior Secondary,31/03/2025,"SENANI VIHAR RAE BARELI ROAD LUCKNOW UTTAR PRADESH ,226002","0522 ,8176067393",hemakalakoti@gmail.com,
830230 ,AECS MAGNOLIA MAARUTI PUBLIC SCHOOL,Seema Goel,Senior Secondary,31/03/2024,"909/36, AREKERE, BANNERGHATTA ROAD, ,560076","080 ,26485622",magnoliamaaruti@gmail.com,http://www.yahoo.com
1730620,AEGIS INTERNATIONAL SCHOOL,MRS. NITU SHARMA,Senior Secondary,31/03/2025,"DORASAR, JHUNJHUNU, RAJASTHAN ,333021","1594 ,01594266041",aegisinternationalschool@gmail.com,http://www.aegisinternationalschool.org
930475 ,AES CENTRAL SCHOOL,AK ROY,Senior Secondary,31/03/2025,"ALLOOR PO KANMANAM THEKKUMURI MALAPPURAM KERALA ,676551","0494 ,2579936",royalelamala@gmail.om,
2131628,AILE INTERNATIONAL SCHOOL,PRATIMA SINGH,Senior Secondary,31/03/2024,"SRI BHAGWATI PLACE 4TH KM, FATEHPUR ROAD LALGANJ DISTT. RAEBARELI ,229206","0531 ,246550",pratima.chauhan60@gmail.com,http://www.aileinternationalschool.com
6630027,AL-NOOR INDIAN ISLAMIC SCHOOL,Mr. MOHAMED HARIS. P,Secondary School,31/03/2013,"P.O.BOX 5451 ABU DHABI UAE. ,","00971 ,6415782 6419105",alnoors@emirates.net.ae,
6630200,AMLED SCHOOL,MR. VARGHESE PUTHUSSERRY,Secondary School,31/03/2023,"AMLED SCHOOL LLC PO BOX: 393470 AL QUOZ 4 BEHIND AL KHAIL MALL DUBAI, UAE ,393470",",043386756",principal@amledschool.com,www.amledschool.com
3630280,ATOMIC ENERGY CENTRAL SCHOOL,M SITAMAHALAKSHMI,Secondary School,31/03/2025,"DAE COLONY ECIL PO HYDERABAD ANDHRA PRADESH ,500062","040 ,7123363",,
1980009,ATOMIC ENERGY CENTRAL SCHOOL,-,Senior Secondary,31/03/2025,"DAE TOWNSHIP ANUPURAM, P.O., KANCHIPURAM DIST. ,600312",",2748226",,
1930973,ATOMIC ENERGY CENTRAL SCHOOL NO-2,G RAMCHANDER GOUD,Secondary School,31/03/2025,"DAE TOWNSHIP, SADRAS(EAST), KALPAKKAM, KANCHEEPURAM, TAMILNADU ,600089","044 ,27481598",grgoud2000@yahoo.com,
2130969,AWADH PUBLIC SCHOOL,NEERJA GAUTAM,Senior Secondary,31/03/2023,"RAJANI KHAND-1, SHARDA NAGAR, RAEBAREILLY ROAD, DISTT LUCKNOW, UTTAR PRADESH ,226002","0522 ,2447786",neerjagautam5@gmail.com,
1630788,BABA SHRI CHAND PUBLIC SCHOOL,Karamjit Kaur,Senior Secondary,31/03/2024,"BABA SHRI CHAND PUBLIC SCHOOL ,NURPURA P.O HALWARA TEH. RAEKOT DISTT . LUDHIANA ,141107","0162 ,4266222",bscpschool@gmail.com,
2130780,BAKSHI PUBLIC SCHOOL,ABHISHEK RANJAN,Senior Secondary,31/03/2026,"LAL GANJ DISTT RAE BAREILLY UP ,229220","5315 ,245166",bmpslalganj@hotmail.com,
1030801,BAL BHARATI PUBLIC SCHOOL,MR. HITESH TIWARI,Senior Secondary,31/03/2023,"MOSER BAER POWER (MP) LIMITED, VILLAGE & POST JAITHARI, DIST ANUPPUR ,484330","91 ,8435002663",bbpsmbanuppur@yahoo.com,http://www.bbpsapr.org
6630208,BHAVANS PEARL WISDOM SCHOOL,DR. K T NANDAKUMAR,Secondary School,31/03/2024,"FALAJ HAZZA, SCHOOL AREA AL AIN , UAE ,085327",",00971505835172",principal@bhavanspearlalain.com,www.bhavanspearlalain.com
6630093,BILVA INDIAN SCHOOL,Dr. B. Matusiak Varley,Secondary School,31/03/2021,"P.O. BOX 62554, AL GHUSAIS SCHOOL ZONE, DUBAI, UAE ,062554",",0097142040900",headpri_mid@bisedu.ae,http://www.bisedu.ae
6630065,BRIGHT RIDERS SCHOOL,VIJAYA KUMARI K PILLAI,Secondary School,31/03/2022,"PO BOX 294388 MADINAT ZAYED, ABU DHABI, UAE ,294388","0097 ,128847200",principal@brsalgharbia.ae,
